Site,GRSP,DICK,ME,vor,pc1,pc2,,,
3,2,12,1,6.54,-410.79566,46.5712,,,
3,0,14,1,6.54,-410.79566,46.5712,,,
3,0,19,0,6.54,-410.79566,46.5712,,,
3,2,15,1,6.54,-410.79566,46.5712,,,
6,3,6,0,7.21,537.16967,-29.75741,,,
6,6,7,0,7.21,537.16967,-29.75741,,,
6,5,13,0,7.21,537.16967,-29.75741,,,
6,9,14,0,7.21,537.16967,-29.75741,,,
8,2,1,0,3.88,-177.48751,383.54113,,,
8,0,0,0,3.88,-177.48751,383.54113,,,
8,2,2,1,3.88,-177.48751,383.54113,,,
8,1,0,0,3.88,-177.48751,383.54113,,,
9,8,17,1,8.17,246.39394,29.17513,,,
9,8,16,0,8.17,246.39394,29.17513,,,
9,14,17,1,8.17,246.39394,29.17513,,,
9,11,11,0,8.17,246.39394,29.17513,,,
10,0,5,2,2.81,-282.77077,-98.07082,,,
10,0,11,3,2.81,-282.77077,-98.07082,,,
10,0,3,1,2.81,-282.77077,-98.07082,,,
10,0,7,4,2.81,-282.77077,-98.07082,,,
12,2,9,1,6.60,511.64831,-42.80903,,,
12,3,15,1,6.60,511.64831,-42.80903,,,
12,1,12,1,6.60,511.64831,-42.80903,,,
12,1,14,0,6.60,511.64831,-42.80903,,,
13,0,8,1,3.75,110.41258,43.1981,,,
13,0,4,1,3.75,110.41258,43.1981,,,
13,0,4,0,3.75,110.41258,43.1981,,,
13,0,5,0,3.75,110.41258,43.1981,,,
14,2,10,1,4.02,49.47317,-140.8039,,,
14,2,10,3,4.02,49.47317,-140.8039,,,
14,1,6,3,4.02,49.47317,-140.8039,,,
14,0,1,3,4.02,49.47317,-140.8039,,,
15,1,6,3,4.63,-22.51906,13.94589,,,
15,1,9,0,4.63,-22.51906,13.94589,,,
15,5,15,1,4.63,-22.51906,13.94589,,,
15,2,5,0,4.63,-22.51906,13.94589,,,
16,3,10,0,5.69,-166.18926,22.89366,,,
16,3,6,0,5.69,-166.18926,22.89366,,,
16,6,10,0,5.69,-166.18926,22.89366,,,
16,1,0,0,5.69,-166.18926,22.89366,,,
20,3,7,4,4.52,-342.75437,-112.37878,,,
20,0,6,1,4.52,-342.75437,-112.37878,,,
20,1,4,2,4.52,-342.75437,-112.37878,,,
20,0,6,2,4.52,-342.75437,-112.37878,,,
23,4,6,2,5.73,180.91141,92.14512,,,
23,4,11,2,5.73,180.91141,92.14512,,,
23,4,7,1,5.73,180.91141,92.14512,,,
23,6,7,0,5.73,180.91141,92.14512,,,
24,6,9,0,6.19,-94.2225,-226.3298,,,
24,6,14,0,6.19,-94.2225,-226.3298,,,
24,8,12,0,6.19,-94.2225,-226.3298,,,
24,4,3,0,6.19,-94.2225,-226.3298,,,
25,6,13,1,5.10,-234.56583,-55.15671,,,
25,8,12,0,5.10,-234.56583,-55.15671,,,
25,7,8,0,5.10,-234.56583,-55.15671,,,
25,6,8,0,5.10,-234.56583,-55.15671,,,
